,0,1
0,MA5,MA20
1,MA5,MA60
2,MA5,MA120
3,MA5,MA5_gra
4,MA5,MA20_gra
5,MA5,MA60_gra
6,MA5,MA120_gra
7,MA5,V_MA5
8,MA5,V_MA20
9,MA5,V_MA60
10,MA5,V_MA120
11,MA5,EMA5
12,MA5,EMA20
13,MA5,EMA60
14,MA5,EMA120
15,MA5,MACD
16,MA5,MACD_sig9
17,MA5,MACD_OSC
18,MA5,Fast%K
19,MA5,Fast%D
20,MA5,Slow%K
21,MA5,Slow%D
22,MA5,RSI14
23,MA5,RSI signal
24,MA5,CCI
25,MA5,A_Ratio
26,MA5,B_Ratio
27,MA5,ATR
28,MA5,UpDI
29,MA5,DownDI
30,MA5,MFI
31,MA5,Momentum
32,MA5,Sonar
33,MA5,Sonar_sig5
34,MA5,STDEV
35,MA5,Sigma
36,MA5,TRIX
37,MA5,VR
38,MA5,WILLR
39,MA5,Psy
40,MA5,Disparity20
41,MA5,Disparity60
42,MA5,ADX
43,MA5,ADOSC
44,MA5,Volume_OSC
45,MA5,upperband
46,MA5,middleband
47,MA5,lowerband
48,MA20,MA60
49,MA20,MA120
50,MA20,MA5_gra
51,MA20,MA20_gra
52,MA20,MA60_gra
53,MA20,MA120_gra
54,MA20,V_MA5
55,MA20,V_MA20
56,MA20,V_MA60
57,MA20,V_MA120
58,MA20,EMA5
59,MA20,EMA20
60,MA20,EMA60
61,MA20,EMA120
62,MA20,MACD
63,MA20,MACD_sig9
64,MA20,MACD_OSC
65,MA20,Fast%K
66,MA20,Fast%D
67,MA20,Slow%K
68,MA20,Slow%D
69,MA20,RSI14
70,MA20,RSI signal
71,MA20,CCI
72,MA20,A_Ratio
73,MA20,B_Ratio
74,MA20,ATR
75,MA20,UpDI
76,MA20,DownDI
77,MA20,MFI
78,MA20,Momentum
79,MA20,Sonar
80,MA20,Sonar_sig5
81,MA20,STDEV
82,MA20,Sigma
83,MA20,TRIX
84,MA20,VR
85,MA20,WILLR
86,MA20,Psy
87,MA20,Disparity20
88,MA20,Disparity60
89,MA20,ADX
90,MA20,ADOSC
91,MA20,Volume_OSC
92,MA20,upperband
93,MA20,middleband
94,MA20,lowerband
95,MA60,MA120
96,MA60,MA5_gra
97,MA60,MA20_gra
98,MA60,MA60_gra
99,MA60,MA120_gra
100,MA60,V_MA5
101,MA60,V_MA20
102,MA60,V_MA60
103,MA60,V_MA120
104,MA60,EMA5
105,MA60,EMA20
106,MA60,EMA60
107,MA60,EMA120
108,MA60,MACD
109,MA60,MACD_sig9
110,MA60,MACD_OSC
111,MA60,Fast%K
112,MA60,Fast%D
113,MA60,Slow%K
114,MA60,Slow%D
115,MA60,RSI14
116,MA60,RSI signal
117,MA60,CCI
118,MA60,A_Ratio
119,MA60,B_Ratio
120,MA60,ATR
121,MA60,UpDI
122,MA60,DownDI
123,MA60,MFI
124,MA60,Momentum
125,MA60,Sonar
126,MA60,Sonar_sig5
127,MA60,STDEV
128,MA60,Sigma
129,MA60,TRIX
130,MA60,VR
131,MA60,WILLR
132,MA60,Psy
133,MA60,Disparity20
134,MA60,Disparity60
135,MA60,ADX
136,MA60,ADOSC
137,MA60,Volume_OSC
138,MA60,upperband
139,MA60,middleband
140,MA60,lowerband
141,MA120,MA5_gra
142,MA120,MA20_gra
143,MA120,MA60_gra
144,MA120,MA120_gra
145,MA120,V_MA5
146,MA120,V_MA20
147,MA120,V_MA60
148,MA120,V_MA120
149,MA120,EMA5
150,MA120,EMA20
151,MA120,EMA60
152,MA120,EMA120
153,MA120,MACD
154,MA120,MACD_sig9
155,MA120,MACD_OSC
156,MA120,Fast%K
157,MA120,Fast%D
158,MA120,Slow%K
159,MA120,Slow%D
160,MA120,RSI14
161,MA120,RSI signal
162,MA120,CCI
163,MA120,A_Ratio
164,MA120,B_Ratio
165,MA120,ATR
166,MA120,UpDI
167,MA120,DownDI
168,MA120,MFI
169,MA120,Momentum
170,MA120,Sonar
171,MA120,Sonar_sig5
172,MA120,STDEV
173,MA120,Sigma
174,MA120,TRIX
175,MA120,VR
176,MA120,WILLR
177,MA120,Psy
178,MA120,Disparity20
179,MA120,Disparity60
180,MA120,ADX
181,MA120,ADOSC
182,MA120,Volume_OSC
183,MA120,upperband
184,MA120,middleband
185,MA120,lowerband
186,MA5_gra,MA20_gra
187,MA5_gra,MA60_gra
188,MA5_gra,MA120_gra
189,MA5_gra,V_MA5
190,MA5_gra,V_MA20
191,MA5_gra,V_MA60
192,MA5_gra,V_MA120
193,MA5_gra,EMA5
194,MA5_gra,EMA20
195,MA5_gra,EMA60
196,MA5_gra,EMA120
197,MA5_gra,MACD
198,MA5_gra,MACD_sig9
199,MA5_gra,MACD_OSC
200,MA5_gra,Fast%K
201,MA5_gra,Fast%D
202,MA5_gra,Slow%K
203,MA5_gra,Slow%D
204,MA5_gra,RSI14
205,MA5_gra,RSI signal
206,MA5_gra,CCI
207,MA5_gra,A_Ratio
208,MA5_gra,B_Ratio
209,MA5_gra,ATR
210,MA5_gra,UpDI
211,MA5_gra,DownDI
212,MA5_gra,MFI
213,MA5_gra,Momentum
214,MA5_gra,Sonar
215,MA5_gra,Sonar_sig5
216,MA5_gra,STDEV
217,MA5_gra,Sigma
218,MA5_gra,TRIX
219,MA5_gra,VR
220,MA5_gra,WILLR
221,MA5_gra,Psy
222,MA5_gra,Disparity20
223,MA5_gra,Disparity60
224,MA5_gra,ADX
225,MA5_gra,ADOSC
226,MA5_gra,Volume_OSC
227,MA5_gra,upperband
228,MA5_gra,middleband
229,MA5_gra,lowerband
230,MA20_gra,MA60_gra
231,MA20_gra,MA120_gra
232,MA20_gra,V_MA5
233,MA20_gra,V_MA20
234,MA20_gra,V_MA60
235,MA20_gra,V_MA120
236,MA20_gra,EMA5
237,MA20_gra,EMA20
238,MA20_gra,EMA60
239,MA20_gra,EMA120
240,MA20_gra,MACD
241,MA20_gra,MACD_sig9
242,MA20_gra,MACD_OSC
243,MA20_gra,Fast%K
244,MA20_gra,Fast%D
245,MA20_gra,Slow%K
246,MA20_gra,Slow%D
247,MA20_gra,RSI14
248,MA20_gra,RSI signal
249,MA20_gra,CCI
250,MA20_gra,A_Ratio
251,MA20_gra,B_Ratio
252,MA20_gra,ATR
253,MA20_gra,UpDI
254,MA20_gra,DownDI
255,MA20_gra,MFI
256,MA20_gra,Momentum
257,MA20_gra,Sonar
258,MA20_gra,Sonar_sig5
259,MA20_gra,STDEV
260,MA20_gra,Sigma
261,MA20_gra,TRIX
262,MA20_gra,VR
263,MA20_gra,WILLR
264,MA20_gra,Psy
265,MA20_gra,Disparity20
266,MA20_gra,Disparity60
267,MA20_gra,ADX
268,MA20_gra,ADOSC
269,MA20_gra,Volume_OSC
270,MA20_gra,upperband
271,MA20_gra,middleband
272,MA20_gra,lowerband
273,MA60_gra,MA120_gra
274,MA60_gra,V_MA5
275,MA60_gra,V_MA20
276,MA60_gra,V_MA60
277,MA60_gra,V_MA120
278,MA60_gra,EMA5
279,MA60_gra,EMA20
280,MA60_gra,EMA60
281,MA60_gra,EMA120
282,MA60_gra,MACD
283,MA60_gra,MACD_sig9
284,MA60_gra,MACD_OSC
285,MA60_gra,Fast%K
286,MA60_gra,Fast%D
287,MA60_gra,Slow%K
288,MA60_gra,Slow%D
289,MA60_gra,RSI14
290,MA60_gra,RSI signal
291,MA60_gra,CCI
292,MA60_gra,A_Ratio
293,MA60_gra,B_Ratio
294,MA60_gra,ATR
295,MA60_gra,UpDI
296,MA60_gra,DownDI
297,MA60_gra,MFI
298,MA60_gra,Momentum
299,MA60_gra,Sonar
300,MA60_gra,Sonar_sig5
301,MA60_gra,STDEV
302,MA60_gra,Sigma
303,MA60_gra,TRIX
304,MA60_gra,VR
305,MA60_gra,WILLR
306,MA60_gra,Psy
307,MA60_gra,Disparity20
308,MA60_gra,Disparity60
309,MA60_gra,ADX
310,MA60_gra,ADOSC
311,MA60_gra,Volume_OSC
312,MA60_gra,upperband
313,MA60_gra,middleband
314,MA60_gra,lowerband
315,MA120_gra,V_MA5
316,MA120_gra,V_MA20
317,MA120_gra,V_MA60
318,MA120_gra,V_MA120
319,MA120_gra,EMA5
320,MA120_gra,EMA20
321,MA120_gra,EMA60
322,MA120_gra,EMA120
323,MA120_gra,MACD
324,MA120_gra,MACD_sig9
325,MA120_gra,MACD_OSC
326,MA120_gra,Fast%K
327,MA120_gra,Fast%D
328,MA120_gra,Slow%K
329,MA120_gra,Slow%D
330,MA120_gra,RSI14
331,MA120_gra,RSI signal
332,MA120_gra,CCI
333,MA120_gra,A_Ratio
334,MA120_gra,B_Ratio
335,MA120_gra,ATR
336,MA120_gra,UpDI
337,MA120_gra,DownDI
338,MA120_gra,MFI
339,MA120_gra,Momentum
340,MA120_gra,Sonar
341,MA120_gra,Sonar_sig5
342,MA120_gra,STDEV
343,MA120_gra,Sigma
344,MA120_gra,TRIX
345,MA120_gra,VR
346,MA120_gra,WILLR
347,MA120_gra,Psy
348,MA120_gra,Disparity20
349,MA120_gra,Disparity60
350,MA120_gra,ADX
351,MA120_gra,ADOSC
352,MA120_gra,Volume_OSC
353,MA120_gra,upperband
354,MA120_gra,middleband
355,MA120_gra,lowerband
356,V_MA5,V_MA20
357,V_MA5,V_MA60
358,V_MA5,V_MA120
359,V_MA5,EMA5
360,V_MA5,EMA20
361,V_MA5,EMA60
362,V_MA5,EMA120
363,V_MA5,MACD
364,V_MA5,MACD_sig9
365,V_MA5,MACD_OSC
366,V_MA5,Fast%K
367,V_MA5,Fast%D
368,V_MA5,Slow%K
369,V_MA5,Slow%D
370,V_MA5,RSI14
371,V_MA5,RSI signal
372,V_MA5,CCI
373,V_MA5,A_Ratio
374,V_MA5,B_Ratio
375,V_MA5,ATR
376,V_MA5,UpDI
377,V_MA5,DownDI
378,V_MA5,MFI
379,V_MA5,Momentum
380,V_MA5,Sonar
381,V_MA5,Sonar_sig5
382,V_MA5,STDEV
383,V_MA5,Sigma
384,V_MA5,TRIX
385,V_MA5,VR
386,V_MA5,WILLR
387,V_MA5,Psy
388,V_MA5,Disparity20
389,V_MA5,Disparity60
390,V_MA5,ADX
391,V_MA5,ADOSC
392,V_MA5,Volume_OSC
393,V_MA5,upperband
394,V_MA5,middleband
395,V_MA5,lowerband
396,V_MA20,V_MA60
397,V_MA20,V_MA120
398,V_MA20,EMA5
399,V_MA20,EMA20
400,V_MA20,EMA60
401,V_MA20,EMA120
402,V_MA20,MACD
403,V_MA20,MACD_sig9
404,V_MA20,MACD_OSC
405,V_MA20,Fast%K
406,V_MA20,Fast%D
407,V_MA20,Slow%K
408,V_MA20,Slow%D
409,V_MA20,RSI14
410,V_MA20,RSI signal
411,V_MA20,CCI
412,V_MA20,A_Ratio
413,V_MA20,B_Ratio
414,V_MA20,ATR
415,V_MA20,UpDI
416,V_MA20,DownDI
417,V_MA20,MFI
418,V_MA20,Momentum
419,V_MA20,Sonar
420,V_MA20,Sonar_sig5
421,V_MA20,STDEV
422,V_MA20,Sigma
423,V_MA20,TRIX
424,V_MA20,VR
425,V_MA20,WILLR
426,V_MA20,Psy
427,V_MA20,Disparity20
428,V_MA20,Disparity60
429,V_MA20,ADX
430,V_MA20,ADOSC
431,V_MA20,Volume_OSC
432,V_MA20,upperband
433,V_MA20,middleband
434,V_MA20,lowerband
435,V_MA60,V_MA120
436,V_MA60,EMA5
437,V_MA60,EMA20
438,V_MA60,EMA60
439,V_MA60,EMA120
440,V_MA60,MACD
441,V_MA60,MACD_sig9
442,V_MA60,MACD_OSC
443,V_MA60,Fast%K
444,V_MA60,Fast%D
445,V_MA60,Slow%K
446,V_MA60,Slow%D
447,V_MA60,RSI14
448,V_MA60,RSI signal
449,V_MA60,CCI
450,V_MA60,A_Ratio
451,V_MA60,B_Ratio
452,V_MA60,ATR
453,V_MA60,UpDI
454,V_MA60,DownDI
455,V_MA60,MFI
456,V_MA60,Momentum
457,V_MA60,Sonar
458,V_MA60,Sonar_sig5
459,V_MA60,STDEV
460,V_MA60,Sigma
461,V_MA60,TRIX
462,V_MA60,VR
463,V_MA60,WILLR
464,V_MA60,Psy
465,V_MA60,Disparity20
466,V_MA60,Disparity60
467,V_MA60,ADX
468,V_MA60,ADOSC
469,V_MA60,Volume_OSC
470,V_MA60,upperband
471,V_MA60,middleband
472,V_MA60,lowerband
473,V_MA120,EMA5
474,V_MA120,EMA20
475,V_MA120,EMA60
476,V_MA120,EMA120
477,V_MA120,MACD
478,V_MA120,MACD_sig9
479,V_MA120,MACD_OSC
480,V_MA120,Fast%K
481,V_MA120,Fast%D
482,V_MA120,Slow%K
483,V_MA120,Slow%D
484,V_MA120,RSI14
485,V_MA120,RSI signal
486,V_MA120,CCI
487,V_MA120,A_Ratio
488,V_MA120,B_Ratio
489,V_MA120,ATR
490,V_MA120,UpDI
491,V_MA120,DownDI
492,V_MA120,MFI
493,V_MA120,Momentum
494,V_MA120,Sonar
495,V_MA120,Sonar_sig5
496,V_MA120,STDEV
497,V_MA120,Sigma
498,V_MA120,TRIX
499,V_MA120,VR
500,V_MA120,WILLR
501,V_MA120,Psy
502,V_MA120,Disparity20
503,V_MA120,Disparity60
504,V_MA120,ADX
505,V_MA120,ADOSC
506,V_MA120,Volume_OSC
507,V_MA120,upperband
508,V_MA120,middleband
509,V_MA120,lowerband
510,EMA5,EMA20
511,EMA5,EMA60
512,EMA5,EMA120
513,EMA5,MACD
514,EMA5,MACD_sig9
515,EMA5,MACD_OSC
516,EMA5,Fast%K
517,EMA5,Fast%D
518,EMA5,Slow%K
519,EMA5,Slow%D
520,EMA5,RSI14
521,EMA5,RSI signal
522,EMA5,CCI
523,EMA5,A_Ratio
524,EMA5,B_Ratio
525,EMA5,ATR
526,EMA5,UpDI
527,EMA5,DownDI
528,EMA5,MFI
529,EMA5,Momentum
530,EMA5,Sonar
531,EMA5,Sonar_sig5
532,EMA5,STDEV
533,EMA5,Sigma
534,EMA5,TRIX
535,EMA5,VR
536,EMA5,WILLR
537,EMA5,Psy
538,EMA5,Disparity20
539,EMA5,Disparity60
540,EMA5,ADX
541,EMA5,ADOSC
542,EMA5,Volume_OSC
543,EMA5,upperband
544,EMA5,middleband
545,EMA5,lowerband
546,EMA20,EMA60
547,EMA20,EMA120
548,EMA20,MACD
549,EMA20,MACD_sig9
550,EMA20,MACD_OSC
551,EMA20,Fast%K
552,EMA20,Fast%D
553,EMA20,Slow%K
554,EMA20,Slow%D
555,EMA20,RSI14
556,EMA20,RSI signal
557,EMA20,CCI
558,EMA20,A_Ratio
559,EMA20,B_Ratio
560,EMA20,ATR
561,EMA20,UpDI
562,EMA20,DownDI
563,EMA20,MFI
564,EMA20,Momentum
565,EMA20,Sonar
566,EMA20,Sonar_sig5
567,EMA20,STDEV
568,EMA20,Sigma
569,EMA20,TRIX
570,EMA20,VR
571,EMA20,WILLR
572,EMA20,Psy
573,EMA20,Disparity20
574,EMA20,Disparity60
575,EMA20,ADX
576,EMA20,ADOSC
577,EMA20,Volume_OSC
578,EMA20,upperband
579,EMA20,middleband
580,EMA20,lowerband
581,EMA60,EMA120
582,EMA60,MACD
583,EMA60,MACD_sig9
584,EMA60,MACD_OSC
585,EMA60,Fast%K
586,EMA60,Fast%D
587,EMA60,Slow%K
588,EMA60,Slow%D
589,EMA60,RSI14
590,EMA60,RSI signal
591,EMA60,CCI
592,EMA60,A_Ratio
593,EMA60,B_Ratio
594,EMA60,ATR
595,EMA60,UpDI
596,EMA60,DownDI
597,EMA60,MFI
598,EMA60,Momentum
599,EMA60,Sonar
600,EMA60,Sonar_sig5
601,EMA60,STDEV
602,EMA60,Sigma
603,EMA60,TRIX
604,EMA60,VR
605,EMA60,WILLR
